bottleneck_strength_domestic,bottleneck_strength_wild,bottleneck_time_domestic,bottleneck_time_wild,captive_time,div_time,mig_length_post_split,mig_length_wild,mig_rate_captive,mig_rate_post_split,mig_rate_wild,pop_size_wild_1,pop_size_wild_2,pop_size_captive,pop_size_domestic_1,pop_size_domestic_2
85716.09,4277.0854,2621.3696,3846.4805,23.164928,61061.5,8721.259,17.23034,0.07026586,0.014900443,0.07824068,5686.547,8448.389,96.29114,4934.8604,9733.498
47637.797,15707.328,3106.5781,2843.7969,10.344907,50643.082,943.1352,15.301646,0.068105176,0.006356977,0.095267534,7464.389,7829.7754,359.19955,6012.69,12223.755
98334.516,10565.079,3427.021,3680.7366,19.105852,63972.06,8234.476,15.881045,0.08940363,0.020601036,0.08947666,7365.595,7323.792,305.3115,7746.776,9993.993
100367.06,12766.876,3858.0151,4056.467,15.232511,61161.184,9141.26,20.61603,0.05224188,0.00451406,0.07349021,5449.0015,8969.459,89.554054,4887.197,10311.104
56770.203,6404.7515,3115.6472,3298.8335,31.275928,52783.562,3220.3447,16.44326,0.042035565,0.009609328,0.09081407,6095.481,8890.239,164.69365,6229.472,9913.845
59974.336,6307.9033,3243.5996,3435.5728,14.072796,62545.13,11986.366,16.449795,0.118201844,0.022244906,0.06992988,7083.839,5724.376,80.09276,6539.4478,15207.155
109070.19,4108.3535,3530.4714,2704.6763,16.54503,55127.074,3356.909,19.911922,0.053752955,0.08338667,0.067398936,5377.205,7739.895,157.06828,5469.135,11171.764
42198.773,9468.935,3304.6018,3998.9968,13.136399,68280.61,20312.383,13.199545,0.053975645,0.025922183,0.11595718,5486.541,8373.953,132.24463,5073.0576,12441.893
26048.723,15631.358,3380.9448,3010.7458,16.448494,67117.8,13965.6875,9.668648,0.09446527,0.010242788,0.12508905,6675.196,7483.6914,107.20596,6762.0503,10679.499
29267.69,27188.76,2594.6846,4231.695,29.041264,74339.88,21082.174,13.313884,0.07322962,0.03326571,0.10141247,8164.3354,7869.6216,61.29152,6420.157,10300.172
43274.258,11818.021,2773.7766,3235.0862,19.633898,56521.914,5890.5757,13.997229,0.100291364,0.036135994,0.10076408,5514.0845,7830.4624,165.51607,6597.951,11884.037
