statname,percentile
diversity_scot,1.0
diversity_captive,1.0
diversity_eu,1.0
segregating_sites_domestic,1.0
segregating_sites_scot,1.0
segregating_sites_captive,1.0
tajimas_d_captive,1.0
divergence_domestic_scot,1.0
divergence_domestic_captive,1.0
divergence_scot_captive,1.0
divergence_scot_eu,1.0
divergence_eu_lyb,1.0
relatedness_domestic_scot,1.0
relatedness_domestic_captive,1.0
relatedness_scot_captive,1.0
relatedness_scot_eu,1.0
relatedness_scot_lyb,1.0
relatedness_captive_eu,1.0
relatedness_eu_lyb,1.0
fst_domestic_scot,1.0
fst_domestic_captive,1.0
fst_domestic_eu,1.0
fst_domestic_lyb,1.0
fst_scot_captive,1.0
fst_scot_eu,1.0
fst_captive_eu,1.0
fst_captive_lyb,1.0
fst_eu_lyb,1.0
f2_domestic_scot,1.0
f2_domestic_captive,1.0
f2_scot_captive,1.0
f2_scot_eu,1.0
f2_scot_lyb,1.0
f2_captive_eu,1.0
f2_captive_lyb,1.0
f2_eu_lyb,1.0
f3_domestic_scot_captive,1.0
f3_domestic_scot_eu,1.0
f3_domestic_scot_lyb,1.0
f3_domestic_captive_eu,1.0
f3_domestic_captive_lyb,1.0
f3_domestic_eu_lyb,1.0
f3_scot_captive_eu,1.0
f3_scot_captive_lyb,1.0
f3_scot_eu_lyb,1.0
f3_captive_eu_lyb,1.0
f4_domestic_scot_captive_eu,1.0
f4_scot_captive_eu_lyb,1.0
y2_domestic_scot,1.0
y2_domestic_captive,1.0
y2_domestic_eu,1.0
y2_scot_captive,1.0
y2_scot_eu,1.0
y2_scot_lyb,1.0
y2_captive_eu,1.0
y2_captive_lyb,1.0
y2_eu_lyb,1.0
y3_domestic_captive_eu,1.0
y3_scot_eu_lyb,1.0
y3_captive_eu_lyb,1.0
pc1_median_domestic,1.0
pc1_median_scot,1.0
pc1_median_captive,1.0
pc1_median_lyb,1.0
pc2_median_scot,1.0
pc2_median_lyb,1.0
pc1_iqr_scot,1.0
pc1_iqr_captive,1.0
pc2_iqr_captive,1.0
pc1_dist_domestic_scot,1.0
pc1_dist_domestic_captive,1.0
pc1_dist_scot_captive,1.0
pc1_dist_scot_eu,1.0
pc1_dist_captive_lyb,1.0
pc2_dist_domestic_scot,1.0
pc2_dist_domestic_captive,1.0
pc2_dist_domestic_eu,1.0
pc2_dist_scot_captive,1.0
pc2_dist_scot_lyb,1.0
pc2_dist_captive_lyb,1.0
pc2_dist_eu_lyb,1.0
pc1_dist_scot_captive,1.0
pc1_dist_scot_eu,1.0
pc1_dist_captive_lyb,1.0
pc2_dist_domestic_scot,1.0
pc2_dist_domestic_captive,1.0
pc2_dist_domestic_eu,1.0
pc2_dist_scot_captive,1.0
pc2_dist_scot_eu,1.0
pc2_dist_scot_lyb,1.0
pc2_dist_captive_eu,1.0
pc2_dist_captive_lyb,1.0
pc2_dist_eu_lyb,1.0
