captive_time,div_time,div_time_dom,div_time_scot,mig_rate_captive,mig_rate_scot,mig_length_scot,pop_size_captive,pop_size_domestic_1,pop_size_lyb_1,pop_size_lyb_2,pop_size_scot_1,pop_size_eu_1,pop_size_eu_2,mutation_rate,recombination_rate
7.2291474,72423.195,6075.67,3652.9348,0.021783277,0.050479643,7.596693,36.873386,117522.38,6147.9507,83520.59,6087.9077,10523.126,21004.455,1.72E-08,9.99E-09
26.723993,130113.96,5450.051,3008.3003,0.010859017,0.028797418,17.178255,212.24855,249562.45,5600.902,148701.12,3260.7302,53407.727,47949.22,9.41E-09,1.32E-08
10.110576,119963.58,6222.699,1759.1168,0.06780976,0.056690767,10.3196335,69.47064,336749.5,6351.7036,84493.586,749.699,35084.316,43710.88,1.03E-08,1.19E-08
15.153666,97518.53,4333.229,2043.6998,0.03592407,0.072266236,6.1850934,342.38885,264693.56,4244.3545,83076.69,1904.4918,21086.344,39127.402,1.12E-08,8.14E-09
40.143456,71011.83,3545.2456,4145.5356,0.040280767,0.048502762,9.445876,95.46677,331767.8,3474.9011,62227.145,2444.2698,55781.434,24521.943,1.67E-08,1.09E-08
14.759357,128958.664,3637.2014,5197.168,0.06313222,0.048595387,12.682567,168.35997,175763.53,3138.506,113156.164,2982.8262,32836.305,43145.965,9.22E-09,1.29E-08
11.6858225,115451.94,6309.4844,2227.7534,0.2646658,0.10619563,5.6516957,220.63853,187906.11,6291.8247,152521.17,1094.4877,26782.633,42798.242,9.97E-09,1.59E-08
45.17679,84536.79,3753.3638,4061.5986,0.06316637,0.06034229,9.225154,112.60934,468572.22,3391.3535,80226.81,4472.653,21054.514,31232.5,1.44E-08,1.46E-08
5.5982,86067.93,3050.791,3623.581,0.0212822,0.044828076,10.763909,109.76773,159421.55,3145.338,70037.49,2464.948,10570.42,31731.787,1.36E-08,2.23E-08
40.006805,71661.47,2288.582,2308.6255,0.04958917,0.050292302,8.428011,89.82324,272467.1,2295.566,90148.805,6392.364,2936.1743,44835.32,1.28E-08,1.25E-08
32.076733,169518.62,6158.1377,3365.177,0.05109362,0.06509538,9.679847,51.701054,313152.53,6327.2183,175367.55,1664.8939,74214.445,63179.836,6.53E-09,1.41E-08
31.362192,84317.06,5180.4717,2322.4993,0.13796791,0.09799329,4.7818575,112.733444,132528.72,5545.8164,158112.75,3391.273,5294.4644,32574.246,1.28E-08,1.54E-08
62.474323,82028.44,4958.4297,2712.7827,0.06330786,0.043908074,11.851532,122.64719,135543.78,5123.0483,68748.9,3619.851,7680.7695,36451.312,1.33E-08,1.45E-08
22.87092,64112.992,3980.3252,4727.226,0.007629155,0.025272273,20.24752,50.339222,113463.81,4072.3809,106917.83,8587.726,12598.545,15523.913,1.92E-08,1.36E-08
9.896444,69291.016,5689.999,1580.2213,0.040867746,0.034755096,15.9599495,56.197918,266902.94,5866.399,79793.18,1518.7081,5547.2017,25850.559,1.83E-08,1.34E-08
